date,open,high,low,close,symbol
2025-08-20,292.1,321.3,292.1,321.3,BHCL
2025-08-21,320.0,353.4,320.0,353.4,BHCL
2025-08-24,346.8,388.7,346.8,388.7,BHCL
2025-08-25,383.2,427.5,383.2,427.5,BHCL
2025-08-26,436.0,470.2,436.0,470.2,BHCL
2025-08-27,477.0,517.2,477.0,517.2,BHCL
2025-08-28,527.5,568.9,527.5,568.9,BHCL
2025-08-31,580.2,625.7,521.0,542.27,BHCL
2025-09-01,543.0,543.0,512.0,515.8,BHCL
2025-09-02,520.0,520.0,493.0,494.94,BHCL
2025-09-03,485.1,515.0,472.1,483.06,BHCL
2025-09-04,475.0,500.0,474.0,495.24,BHCL
2025-09-07,490.0,499.0,475.0,475.82,BHCL
2025-09-08,470.0,483.8,455.1,458.92,BHCL
2025-09-18,449.8,449.8,413.1,416.0,BHCL
2025-09-21,410.0,445.0,395.0,437.52,BHCL
2025-09-23,437.0,453.5,437.0,449.8,BHCL
2025-09-24,449.8,469.2,433.1,461.0,BHCL
2025-09-25,470.0,477.0,450.1,459.0,BHCL
2025-09-28,455.0,463.0,451.2,459.0,BHCL
2025-10-07,459.0,460.0,440.0,444.9,BHCL
2025-10-08,444.9,444.9,426.7,432.0,BHCL
2025-10-09,440.0,460.0,430.1,432.0,BHCL
2025-10-12,423.5,440.5,407.0,410.0,BHCL
2025-10-13,408.1,423.8,403.0,420.0,BHCL
2025-10-14,416.0,420.0,408.5,409.1,BHCL
2025-10-15,417.2,417.2,403.1,411.7,BHCL
2025-10-16,411.0,411.0,397.1,400.0,BHCL
2025-10-19,400.0,424.0,397.2,407.9,BHCL
2025-10-26,407.9,415.0,400.0,402.0,BHCL
2025-10-28,394.0,418.9,394.0,418.9,BHCL
2025-10-29,412.1,430.0,412.0,415.0,BHCL
2025-10-30,409.0,448.8,409.0,437.3,BHCL
2025-11-02,440.0,446.7,432.0,441.0,BHCL
2025-11-03,433.0,447.8,429.0,437.0,BHCL
2025-11-04,433.0,445.5,420.0,427.0,BHCL
2025-11-05,420.0,430.0,415.0,424.0,BHCL
2025-11-06,424.0,430.0,417.8,422.1,BHCL
2025-11-09,419.1,452.9,416.0,439.9,BHCL
2025-11-10,441.0,448.6,428.6,433.3,BHCL
2025-11-11,425.1,460.0,425.1,450.0,BHCL
2025-11-12,443.0,455.0,437.2,445.0,BHCL
2025-11-13,436.9,458.0,436.9,447.0,BHCL
2025-11-16,447.0,454.9,432.0,440.0,BHCL
2025-11-17,432.1,445.0,432.1,445.0,BHCL
2025-11-18,453.9,465.0,446.0,464.0,BHCL
2025-11-19,463.0,490.0,463.0,488.0,BHCL
2025-11-20,489.0,506.0,468.2,469.5,BHCL
2025-11-23,469.5,487.0,465.3,477.1,BHCL
2025-11-24,467.6,493.0,467.6,480.0,BHCL
2025-11-25,479.0,480.0,468.2,473.7,BHCL
2025-11-26,471.5,490.0,467.3,483.4,BHCL
2025-11-27,485.0,492.7,478.1,487.8,BHCL
2025-11-30,482.1,503.0,482.1,490.0,BHCL
2025-12-01,490.0,496.0,476.8,479.9,BHCL
2025-12-02,478.0,517.0,473.1,511.0,BHCL
2025-12-03,511.0,545.0,504.5,527.0,BHCL
2025-12-07,527.0,527.0,500.0,506.9,BHCL
2025-12-08,506.0,535.0,501.5,528.0,BHCL
